               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.031397,            0.025725,           0.0043352,              0.9799,             0.98981,             0.99259,             0.73388,            0.024066,            0.012144,           0.0017161,            0.008119,            0.008119,            0.008119
                  59,            0.032505,            0.029093,           0.0042542,             0.97341,             0.98899,             0.99307,             0.70955,            0.029635,            0.012403,           0.0018052,            0.008086,            0.008086,            0.008086
                  60,            0.032361,            0.026751,           0.0041544,             0.98112,             0.98545,             0.99365,             0.75565,            0.024384,            0.011484,           0.0017441,            0.008053,            0.008053,            0.008053
                  61,            0.033475,             0.02484,           0.0040324,             0.96682,             0.99281,             0.99312,             0.72111,            0.026109,            0.012542,           0.0014971,             0.00802,             0.00802,             0.00802
                  62,            0.031816,            0.023715,           0.0038831,              0.9787,             0.98418,             0.99278,             0.75648,            0.023428,            0.011678,           0.0015009,            0.007987,            0.007987,            0.007987
                  63,            0.030507,             0.02579,           0.0039994,              0.9856,              0.9786,             0.99361,             0.74248,            0.024183,            0.011919,           0.0016525,            0.007954,            0.007954,            0.007954
                  64,            0.030348,            0.025792,             0.00436,              0.9671,             0.98851,             0.99423,             0.76687,            0.021954,            0.011668,           0.0027355,            0.007921,            0.007921,            0.007921
                  65,            0.030548,            0.025195,           0.0034568,             0.98345,             0.98937,             0.99478,             0.74845,            0.024008,            0.011708,           0.0019073,            0.007888,            0.007888,            0.007888
                  66,            0.031452,            0.023932,           0.0039454,              0.9836,             0.98687,             0.99431,              0.7763,            0.021075,            0.011958,           0.0015304,            0.007855,            0.007855,            0.007855
                  67,            0.030758,            0.026745,           0.0038603,             0.98187,             0.99388,             0.99474,             0.76551,            0.023185,            0.011286,            0.001626,            0.007822,            0.007822,            0.007822
                  68,            0.029641,            0.026096,           0.0035207,             0.97819,              0.9876,             0.99374,             0.76369,            0.022839,            0.011209,           0.0016933,            0.007789,            0.007789,            0.007789
                  69,            0.030582,            0.028407,           0.0035013,             0.98649,             0.98107,             0.99438,             0.78142,            0.022053,             0.01117,           0.0015578,            0.007756,            0.007756,            0.007756
                  70,            0.029519,            0.027868,            0.003713,              0.9748,             0.99407,             0.99372,             0.79133,             0.02052,            0.010899,           0.0013988,            0.007723,            0.007723,            0.007723
                  71,            0.030286,            0.026383,           0.0034166,             0.98002,             0.99067,             0.99457,             0.79389,            0.020732,            0.010843,           0.0013843,             0.00769,             0.00769,             0.00769
                  72,            0.027225,            0.025337,           0.0033151,             0.96418,             0.99338,             0.99219,               0.779,            0.020809,            0.011169,           0.0018721,            0.007657,            0.007657,            0.007657
                  73,            0.028379,            0.027993,           0.0037609,             0.94192,             0.95659,              0.9846,             0.68985,            0.025152,            0.012331,           0.0029051,            0.007624,            0.007624,            0.007624
                  74,            0.027532,            0.025291,           0.0035678,             0.97658,              0.9717,             0.99343,             0.75245,            0.022971,            0.011927,           0.0017265,            0.007591,            0.007591,            0.007591
                  75,            0.028567,            0.026542,            0.003607,             0.98171,             0.99337,             0.99479,             0.78476,            0.021072,            0.011081,           0.0014035,            0.007558,            0.007558,            0.007558
                  76,            0.027458,            0.025868,           0.0038932,              0.9867,             0.99661,             0.99486,             0.79502,            0.019534,            0.010861,           0.0015305,            0.007525,            0.007525,            0.007525
                  77,            0.027668,            0.024633,           0.0042487,             0.98626,             0.99232,             0.99467,             0.78155,            0.020062,            0.010812,           0.0015229,            0.007492,            0.007492,            0.007492
                  78,            0.028637,            0.026925,           0.0033649,              0.9878,             0.99229,             0.99487,             0.78962,            0.020056,            0.010724,           0.0014523,            0.007459,            0.007459,            0.007459
                  79,            0.028016,            0.023364,           0.0028025,             0.98809,              0.9985,             0.99496,             0.78381,            0.022295,            0.010643,           0.0012585,            0.007426,            0.007426,            0.007426
                  80,            0.027923,            0.022236,           0.0044251,             0.99419,             0.99526,              0.9949,             0.79935,            0.019807,            0.010474,           0.0011963,            0.007393,            0.007393,            0.007393
                  81,            0.028492,            0.023038,            0.003654,              0.9871,             0.98982,             0.99434,             0.76424,            0.023045,            0.011093,           0.0012506,             0.00736,             0.00736,             0.00736
                  82,            0.028677,            0.026314,           0.0030654,             0.99299,             0.99348,             0.99496,             0.80886,            0.018449,            0.010578,           0.0013742,            0.007327,            0.007327,            0.007327
                  83,            0.027308,            0.026197,           0.0036248,             0.99135,             0.99238,             0.99467,             0.77962,            0.022784,            0.010959,            0.001429,            0.007294,            0.007294,            0.007294
                  84,            0.027752,            0.023665,           0.0029053,               0.993,             0.99303,             0.99479,             0.78513,            0.020513,            0.010572,           0.0014549,            0.007261,            0.007261,            0.007261
                  85,            0.026299,            0.023657,           0.0032027,             0.99065,             0.99745,             0.99492,             0.81228,            0.019249,           0.0099787,           0.0012564,            0.007228,            0.007228,            0.007228
                  86,            0.026166,            0.022864,            0.003364,             0.98854,             0.99928,             0.99494,             0.80986,             0.02042,            0.010188,           0.0011921,            0.007195,            0.007195,            0.007195
                  87,            0.028153,            0.030141,           0.0033472,              0.9852,             0.99584,              0.9949,             0.80829,            0.019338,            0.010243,           0.0012635,            0.007162,            0.007162,            0.007162
                  88,            0.029289,               0.025,           0.0033967,             0.99535,             0.99381,               0.995,             0.82409,            0.018126,           0.0096769,           0.0012083,            0.007129,            0.007129,            0.007129
                  89,            0.026446,            0.023367,           0.0026011,             0.99631,             0.98944,             0.99484,             0.79333,            0.022732,            0.010139,            0.001259,            0.007096,            0.007096,            0.007096
                  90,            0.027127,            0.024285,           0.0028589,             0.98815,             0.99359,             0.99479,             0.81221,            0.019781,            0.010287,           0.0012403,            0.007063,            0.007063,            0.007063
                  91,            0.025879,            0.024381,           0.0026194,             0.99117,             0.98318,             0.99481,             0.77305,            0.021245,            0.010068,           0.0012066,             0.00703,             0.00703,             0.00703
                  92,            0.026876,            0.024978,           0.0023782,             0.98586,             0.99962,             0.99494,             0.81235,            0.019063,           0.0096665,           0.0012009,            0.006997,            0.006997,            0.006997
                  93,            0.026911,            0.023203,           0.0027387,             0.98304,             0.99994,             0.99479,             0.82915,            0.018973,           0.0099355,            0.001295,            0.006964,            0.006964,            0.006964
                  94,            0.026979,            0.023499,           0.0030233,             0.98943,             0.99543,              0.9945,             0.82192,            0.018216,           0.0099003,           0.0012248,            0.006931,            0.006931,            0.006931
                  95,            0.025168,             0.02277,           0.0027941,             0.99464,             0.99419,               0.995,             0.81077,            0.018681,           0.0098605,            0.001221,            0.006898,            0.006898,            0.006898
                  96,            0.025592,            0.024977,           0.0026889,             0.99034,             0.99779,             0.99489,             0.81883,            0.019212,           0.0097084,           0.0011638,            0.006865,            0.006865,            0.006865
                  97,            0.025944,            0.022572,           0.0026978,             0.99192,             0.99872,             0.99484,              0.8147,            0.018771,           0.0097588,           0.0011459,            0.006832,            0.006832,            0.006832
                  98,            0.027799,              0.0247,           0.0031015,             0.98937,             0.99784,             0.99375,             0.80361,             0.01818,            0.009861,           0.0012088,            0.006799,            0.006799,            0.006799
                  99,            0.024099,            0.023144,            0.003658,             0.99096,              0.9973,              0.9948,             0.81746,            0.019008,           0.0096931,           0.0011465,            0.006766,            0.006766,            0.006766
                 100,            0.026043,            0.025495,           0.0028007,             0.99262,             0.99801,             0.99498,             0.80934,            0.017786,           0.0095885,           0.0011405,            0.006733,            0.006733,            0.006733
